Wall time,Step,Value
1647117383.41891,479999,-461.20001220703125
1647117424.98654,481999,-602.7999877929688
1647117445.72207,482999,-613.5999755859375
1647117529.279371,486999,-433.6000061035156
1647117570.574812,488999,-526.0
1647117674.502625,493999,-472.0
1647117695.192905,494999,-519.4000244140625
1647117715.967018,495999,-636.4000244140625
1647117736.679633,496999,-634.5999755859375
1647117799.093697,499999,-591.4000244140625
1647117819.97893,500999,-533.7999877929688
1647117944.571334,506999,-493.0
1647118027.691072,510999,-534.4000244140625
1647118048.33794,511999,-448.6000061035156
1647118089.865421,513999,-431.79998779296875
1647118255.887504,521999,-462.3999938964844
1647118359.773005,526999,-460.6000061035156
1647118380.7021859,527999,-432.3999938964844
1647118422.327621,529999,-415.6000061035156
1647118463.930344,531999,-614.7999877929688
1647118484.757932,532999,-786.4000244140625
1647118630.399963,539999,-437.79998779296875
1647118651.259929,540999,-461.79998779296875
1647118713.9217176,543999,-493.6000061035156
1647118734.709492,544999,-454.0
1647118776.621448,546999,-499.0
1647118859.663142,550999,-388.0
1647118984.028721,556999,-463.0
1647119004.763065,557999,-438.3999938964844
1647119066.7653198,560999,-374.20001220703125
1647119212.425654,567999,-457.6000061035156
1647119275.986505,570999,-610.5999755859375
1647119298.849363,571999,-433.6000061035156
1647119343.621886,573999,-584.7999877929688
1647119407.891453,576999,-391.6000061035156
1647119429.346722,577999,-524.2000122070312
1647119450.747532,578999,-398.79998779296875
1647119493.538011,580999,-454.6000061035156
1647119515.052777,581999,-434.20001220703125
1647119579.252407,584999,-345.3999938964844
1647119746.881434,592999,-373.6000061035156
1647119788.459402,594999,-449.79998779296875
1647119850.812972,597999,-428.79998779296875
1647119933.886764,601999,-510.3999938964844
1647119996.4659,604999,-431.79998779296875
1647120017.2962759,605999,-436.6000061035156
1647120058.896678,607999,-479.20001220703125
1647120121.461753,610999,-505.6000061035156
1647120142.301228,611999,-425.20001220703125
1647120163.161913,612999,-421.0
1647120204.715487,614999,-434.20001220703125
1647120225.648146,615999,-530.2000122070312
1647120246.587636,616999,-410.79998779296875
1647120433.786747,625999,-329.20001220703125
1647120454.627282,626999,-435.3999938964844
1647120496.1804,628999,-415.6000061035156
1647120517.059523,629999,-443.20001220703125
1647120537.854935,630999,-391.6000061035156
1647120600.075603,633999,-538.5999755859375
1647120704.4381003,638999,-464.20001220703125
1647120767.057742,641999,-510.3999938964844
1647120850.254794,645999,-392.20001220703125
1647120892.029584,647999,-347.20001220703125
1647120954.180781,650999,-362.79998779296875
1647120995.826469,652999,-621.4000244140625
1647121058.235224,655999,-520.0
1647121078.843137,656999,-437.79998779296875
1647121141.299614,659999,-317.20001220703125
1647121162.087677,660999,-380.79998779296875
1647121203.445913,662999,-379.6000061035156
1647121265.665754,665999,-358.6000061035156
1647121307.419301,667999,-421.6000061035156
1647121328.1609297,668999,-454.0
1647121348.982345,669999,-571.5999755859375
1647121390.707001,671999,-437.79998779296875
1647121494.80788,676999,-485.20001220703125
1647121536.469728,678999,-479.20001220703125
1647121557.3222263,679999,-560.2000122070312
1647121619.843509,682999,-445.6000061035156
1647121682.147506,685999,-496.0
1647121786.061789,690999,-492.3999938964844
1647121806.867414,691999,-497.20001220703125
1647121848.54722,693999,-416.79998779296875
1647121931.755897,697999,-513.4000244140625
1647121972.860853,699999,-297.3999938964844
1647122035.213793,702999,-404.20001220703125
1647122118.485129,706999,-351.3999938964844
1647122139.376099,707999,-391.0
1647122222.4509833,711999,-349.0
1647122285.133783,714999,-326.79998779296875
1647122305.9609568,715999,-415.6000061035156
1647122410.1083462,720999,-402.3999938964844
1647122430.935371,721999,-372.3999938964844
1647122555.765586,727999,-360.3999938964844
1647122576.577533,728999,-322.6000061035156
1647122680.289909,733999,-402.3999938964844
1647122701.158774,734999,-391.6000061035156
1647122721.971524,735999,-355.6000061035156
1647122763.6660469,737999,-431.20001220703125
1647122826.074547,740999,-350.20001220703125
1647122888.374382,743999,-355.0
1647122909.088493,744999,-322.6000061035156
1647122971.230783,747999,-493.0
1647123158.300316,756999,-340.6000061035156
1647123179.07349,757999,-361.6000061035156
1647123241.287658,760999,-472.6000061035156
1647123262.175555,761999,-436.0
1647123282.905619,762999,-421.6000061035156
1647123324.640594,764999,-392.20001220703125
1647123470.0438201,771999,-330.3999938964844
1647123490.788063,772999,-392.79998779296875
1647123573.56595,776999,-353.20001220703125
1647123594.312775,777999,-355.0
1647123615.151435,778999,-327.3999938964844
1647123635.926686,779999,-403.0
1647123677.125286,781999,-196.0
1647123697.998748,782999,-405.3999938964844
1647123739.838131,784999,-274.0
1647123781.274086,786999,-299.79998779296875
1647123843.5793273,789999,-334.6000061035156
1647123864.190696,790999,-353.20001220703125
1647123926.57795,793999,-379.6000061035156
1647123968.183785,795999,-293.79998779296875
1647123988.938748,796999,-364.0
1647124009.827292,797999,-314.20001220703125
1647124072.2333193,800999,-373.0
1647124134.272393,803999,-356.79998779296875
1647124154.979215,804999,-339.3999938964844
1647124217.208574,807999,-375.3999938964844
1647124238.067574,808999,-350.79998779296875
1647124445.112153,818999,-202.8000030517578
1647124465.811147,819999,-320.79998779296875
1647124549.21364,823999,-365.20001220703125
1647124570.016026,824999,-326.20001220703125
1647124590.772877,825999,-432.3999938964844
1647124757.308436,833999,-316.6000061035156
1647124798.673771,835999,-335.20001220703125
1647124819.494365,836999,-334.6000061035156
1647124881.01385,839999,-286.0
1647124901.61742,840999,-412.6000061035156
1647124942.877213,842999,-339.3999938964844
1647124984.347505,844999,-274.6000061035156
